bin_centers,pore_type_hist_1,pore_type_hist_2,pore_type_hist_3
5.5,0.0,0.0,297.0
6.5,0.0,0.0,0.0
7.5,0.0,0.0,0.0
8.5,0.0,5.0,0.0
9.5,0.0,60.0,0.0
10.5,0.0,56.0,0.0
11.5,125.0,4772.0,0.0
12.5,86.0,1.0,0.0
13.5,8894.0,4.0,0.0
