bin_centers,pore_type_hist_1,pore_type_hist_2
6.38,0.0,16.0
7.14,0.0,67.0
7.9,2.0,36.0
8.66,0.0,21.0
9.42,244.0,332.0
10.18,99.0,31.0
10.940000000000001,69.0,19.0
11.7,48.0,16.0
12.46,50.0,20.0
13.219999999999999,55.0,18.0
13.98,59.0,91.0
14.74,218.0,128.0
15.5,79.0,15.0
16.26,116.0,6709.0
17.02,84.0,1565.0
17.78,75.0,602.0
18.54,78.0,403.0
19.3,77.0,336.0
20.06,63.0,296.0
20.82,64.0,244.0
21.58,81.0,193.0
22.34,1213.0,832.0
23.1,237.0,230.0
23.86,55.0,47.0
24.62,11845.0,289.0
