bin_centers,pore_type_hist_1,pore_type_hist_2
9.21875,0.0,0.0
9.65625,0.0,2.0
10.09375,0.0,1.0
10.53125,0.0,0.0
10.96875,0.0,0.0
11.40625,0.0,1.0
11.84375,0.0,1.0
12.28125,0.0,6078.0
12.71875,12.0,233.0
13.15625,10.0,1052.0
13.59375,1.0,53.0
14.03125,1.0,26.0
14.46875,0.0,10.0
14.90625,14161.0,563.0
15.34375,0.0,0.0
15.78125,0.0,0.0
