bin_centers,pore_type_hist_1,pore_type_hist_2,pore_type_hist_3
5.5,6.0,48.0,79.0
6.5,8.0,14.0,20.0
7.5,22.0,40.0,4.0
8.5,8.0,45.0,1.0
9.5,2.0,25.0,0.0
10.5,4.0,18.0,0.0
11.5,4.0,20.0,0.0
12.5,158.0,469.0,0.0
13.5,9.0,25.0,11.0
14.5,2.0,13.0,20.0
15.5,0.0,68.0,838.0
16.5,0.0,2313.0,0.0
17.5,0.0,0.0,0.0
18.5,0.0,0.0,0.0
19.5,0.0,0.0,0.0
20.5,0.0,0.0,0.0
21.5,0.0,0.0,0.0
22.5,0.0,0.0,0.0
23.5,0.0,0.0,0.0
24.5,0.0,0.0,0.0
25.5,0.0,0.0,0.0
26.5,0.0,0.0,0.0
27.5,0.0,0.0,0.0
28.5,0.0,0.0,0.0
29.5,0.0,0.0,0.0
30.5,0.0,0.0,0.0
31.5,22.0,0.0,0.0
32.5,3.0,0.0,0.0
33.5,10380.0,0.0,0.0
